start_time,nginx-web-server--nginx-web-server,nginx-web-server--social-graph-service,social-graph-service--social-graph-service,social-graph-service--user-service,user-service--user-service
1650421446,0.968873245,0.212469942,1.486748034,0.928038982,0.134744717
1650421448,-0.417501039,-0.299905037,-0.657630777,-0.023632159,0.768574197
1650421449,-0.460545001,-0.30905459,-0.466633474,-0.666010178,-1.956892567
1650421449,-0.117986801,0.020329325,-0.106343107,-0.309133501,-0.118787075
1650421451,-0.149373024,-0.078485849,-0.084638868,-0.6422184,-0.404010341
1650421451,-0.546632925,-0.389570658,-0.755299852,-0.666010178,-0.182170023
1650421451,-0.156547017,-0.13704299,-0.102002259,-0.6422184,-0.594159185
1650421452,-0.360109089,-0.230368432,-0.644608234,1.736959451,1.751009891
1650421454,0.008454838,-0.003459513,0.060779533,0.357036298,0.705191249
1650421455,0.006661339,0.067907002,0.245265564,-1.11805397,-0.911073925
1650421456,-0.631824101,-0.442638066,-0.607711027,-1.712848433,-1.639977827
1650421457,0.034460565,0.228939138,0.796553234,-0.999095077,-0.879382451
1650421459,-0.265950421,-0.257817092,-0.494848985,-0.737385514,-1.354754561
1650421462,-0.356522092,-0.274286288,-0.388498214,-0.903927963,-0.625850659
1650421463,-0.52959469,-0.407869764,-0.588177212,-0.95151152,-0.594159185
1650421467,-0.020241137,-0.019928709,0.12589225,0.832871868,1.212254833
1650421468,-0.091084325,-0.126063526,-0.095490988,0.119118513,-0.150478549
1650421469,-0.525110944,-0.409699675,-0.616392723,0.190493848,-0.277244445
1650421471,0.162695703,0.172211908,0.570829149,0.119118513,0.610116827
1650421476,0.841534857,0.863918129,-0.586006788,0.190493848,0.356585035
1650421477,-0.364592835,-0.2248787,-0.37547567,0.785288311,0.039670295
1650421482,0.116961493,0.168552087,0.412388204,0.880455425,-0.340627393
1650421482,-0.456958004,-0.305394768,-0.688016712,-0.213966387,-1.481520457
1650421483,-0.089290826,-0.043717547,-0.551280006,3.045507269,2.258073475
1650421484,-0.107225811,-0.036397905,0.03690487,-0.332925279,0.007978821
1650421485,-0.382527819,-0.479236279,-0.568643397,-1.094262191,-0.911073925
1650421487,-0.013963893,-0.105934509,-0.334237616,-0.047423937,0.515042405
1650421488,0.200359169,0.023989146,-0.00216276,1.332499216,0.229819139
1650421489,-0.572638652,-0.515834492,-0.594688484,-2.06972511,-2.020275515
1650421492,-0.230977202,-0.133383169,-0.204012182,0.713912975,-0.308935919
1650421492,0.139380223,0.146593159,0.412388204,1.308707438,1.212254833
1650421493,-0.292852898,-0.285265751,-0.195330487,-1.427347091,-1.196297191
1650421494,-0.156547017,-0.034567994,-0.253931932,1.284915659,0.641808301
1650421494,0.183320934,0.104505214,0.516568552,-0.713593735,-0.435701815
1650421498,-0.367283083,-0.283435841,-0.577325093,-1.141845748,-0.879382451
1650421499,-0.412120543,-0.332843428,-0.455781355,-1.59388954,-1.671669301
1650421501,-0.242634942,-0.437148334,-0.679335016,-0.95151152,-0.784308029
1650421502,-0.254292682,-0.354802356,-0.477485594,-0.927719742,-0.499084763
1650421504,0.044324806,0.086206108,0.301696586,-0.190174608,-0.720925081
1650421504,-0.180759246,-0.115084062,-0.273465747,0.238077405,0.673499775
1650421505,0.221881151,0.333244044,0.837791288,0.690121197,-1.227988665
1650421506,-0.091084325,0.100845393,0.171471152,-0.761177292,-1.006148347
1650421508,-0.343070854,-0.259647003,-0.147581161,-1.260804641,-1.227988665
1650421509,-0.40494655,-0.245007717,-0.403691181,-1.260804641,-0.911073925
1650421511,-0.072252591,-0.027248352,0.225731749,-0.47567595,-1.354754561
1650421512,0.093646013,0.089865929,0.269140227,0.856663646,1.370712203
1650421513,-0.334103362,-0.219388969,-0.323385497,0.428411633,-0.720925081
1650421513,0.034460565,-0.010779156,0.071631653,0.023951398,-1.132914243
1650421517,0.204842916,0.232598959,0.21487963,0.16670207,0.293202087
1650421517,1.176919063,1.255519006,-0.37547567,0.333244519,0.673499775
1650421518,-0.032795626,0.086206108,0.191004967,0.023951398,0.261510613
1650421518,-0.498208468,-0.373101462,-0.436247539,-0.808760849,-0.657542133
1650421521,-0.367283083,-0.45361753,-0.638096962,-1.165637527,-0.657542133
1650421522,-0.21035197,-0.071166207,0.128062674,0.523578747,1.117180411
1650421522,-0.107225811,-0.151682275,-0.338578464,0.999414317,1.687626943
1650421524,-0.003202902,0.033138699,0.141085217,0.309452741,0.736882723
1650421524,-0.203177977,-0.065676475,-0.562132126,-0.47567595,0.071361769
1650421525,-0.240841443,-0.243177807,-0.655460353,-0.071215716,0.515042405
1650421532,-0.48475723,-0.448127798,-0.612051875,-1.641473097,-1.671669301
1650421533,-0.011273645,-0.082145671,0.232243021,-0.618426621,-0.213861497
1650421533,-0.558290665,-0.473746547,-0.722743494,-1.665264876,-2.020275515
1650421534,0.038047562,0.013009682,0.073802076,0.190493848,0.324893561
1650421535,-0.203177977,-0.120573794,-0.245250236,-0.547051286,-0.118787075
1650421538,0.709712723,0.658968138,0.965846298,0.809080089,1.339020729
1650421539,-0.024724883,0.06241727,0.37115015,0.690121197,1.339020729
1650421542,-0.297336644,-0.234028254,-0.199671335,-1.141845748,-0.974456873
1650421543,0.069433784,0.075226644,0.082483772,-0.451884172,-0.404010341
1650421544,-0.388805064,-0.259647003,-0.605540603,-0.95151152,-0.689233607
