timestamp,cpu_usage_system,cpu_usage_total,cpu_usage_user,memory_usage,memory_working_set,rx_bytes,tx_bytes
1650161565,0.0,0.003088665,0.0,6.473064422607422e-05,6.473064422607422e-05,2278913.0,4506.0
1650161566,0.0,0.003088665,0.0,6.473064422607422e-05,6.473064422607422e-05,2278913.0,4506.0
1650161567,0.0,0.003088665,0.0,6.473064422607422e-05,6.473064422607422e-05,2278913.0,4506.0
1650161568,0.0,0.003088665,0.0,6.473064422607422e-05,6.473064422607422e-05,2278913.0,4506.0
1650161569,0.0,0.003088665,0.0,6.473064422607422e-05,6.473064422607422e-05,2278913.0,4506.0
1650161570,0.0,0.003088665,0.0,6.473064422607422e-05,6.473064422607422e-05,2278913.0,4506.0
1650161571,0.0,0.001538244,0.005,6.473064422607422e-05,6.473064422607422e-05,1139784.0,2418.0
1650161572,0.0,0.001538244,0.005,6.473064422607422e-05,6.473064422607422e-05,1139784.0,2418.0
1650161573,0.0,0.0017449395,0.0,6.473064422607422e-05,6.473064422607422e-05,1139780.5,3581.5
1650161574,0.0,0.0017449395,0.0,6.473064422607422e-05,6.473064422607422e-05,1139780.5,3581.5
1650161575,0.005,0.003521747,0.0,6.473064422607422e-05,6.473064422607422e-05,2279850.0,5859.0
1650161576,0.0,0.00532348,0.01,6.473064422607422e-05,6.473064422607422e-05,3420334.0,8599.0
1650161577,0.0,0.00532348,0.01,6.473064422607422e-05,6.473064422607422e-05,3420334.0,8599.0
1650161578,0.0,0.0009661465,0.0,6.446242332458496e-05,6.446242332458496e-05,570160.5,1555.5
1650161579,0.0,0.005574466,0.0,6.470084190368652e-05,6.470084190368652e-05,3421234.0,9251.0
1650161580,0.0,0.004764132,0.0,6.470084190368652e-05,6.470084190368652e-05,3420891.0,6825.0
1650161581,0.0,0.004764132,0.0,6.470084190368652e-05,6.470084190368652e-05,3420891.0,6825.0
1650161582,0.0,0.002727211,0.0,4.899501800537109e-05,4.899501800537109e-05,1710661.5,4105.5
1650161583,0.0,0.002727211,0.0,4.899501800537109e-05,4.899501800537109e-05,1710661.5,4105.5
1650161584,0.005,0.004734404,0.0,6.473064422607422e-05,6.473064422607422e-05,2281284.0,6209.5
1650161585,0.0,0.003023061,0.0,6.473064422607422e-05,6.473064422607422e-05,2281572.0,4968.0
1650161586,0.0,0.001720582,0.0,6.473064422607422e-05,6.473064422607422e-05,1141408.0,2773.0
1650161587,0.0,0.001720582,0.0,6.473064422607422e-05,6.473064422607422e-05,1141408.0,2773.0
1650161588,0.0,0.002697778,0.0,6.446242332458496e-05,6.446242332458496e-05,1711677.0,3841.5
1650161589,0.0,0.005068569,0.0,6.470084190368652e-05,6.470084190368652e-05,3423335.0,7097.0
1650161590,0.0,0.005068569,0.0,6.470084190368652e-05,6.470084190368652e-05,3423335.0,7097.0
1650161591,0.0,0.001598596,0.005,6.470084190368652e-05,6.470084190368652e-05,1141251.0,2385.0
1650161592,0.0,0.001598596,0.005,6.470084190368652e-05,6.470084190368652e-05,1141251.0,2385.0
1650161593,0.0,0.0045957505,0.0,6.473064422607422e-05,6.473064422607422e-05,3378839.0,6856.5
1650161594,0.0,0.002993951,0.0,6.479024887084961e-05,6.479024887084961e-05,1232194.0,5003.0
1650161595,0.0,0.003559862,0.01,6.479024887084961e-05,6.479024887084961e-05,2283300.0,5562.0
1650161596,0.0,0.001961603,0.0,6.479024887084961e-05,6.479024887084961e-05,1142272.0,3367.0
1650161597,0.0,0.001961603,0.0,6.479024887084961e-05,6.479024887084961e-05,1142272.0,3367.0
1650161598,0.0,0.0016627505,0.0,6.479024887084961e-05,6.479024887084961e-05,1142058.0,3012.0
1650161599,0.0,0.003591096,0.0,6.455183029174805e-05,6.455183029174805e-05,2284044.0,5760.0
1650161600,0.0,0.006640528,0.0,6.479024887084961e-05,6.479024887084961e-05,4568143.0,10340.0
1650161601,0.0,0.006640528,0.0,6.479024887084961e-05,6.479024887084961e-05,4568143.0,10340.0
1650161602,0.0,0.0024799035,0.0,4.905462265014648e-05,4.905462265014648e-05,1713253.0,3445.5
1650161603,0.0,0.005848123,0.01,4.905462265014648e-05,4.905462265014648e-05,2284709.0,6451.0
1650161604,0.0,0.005848123,0.01,4.905462265014648e-05,4.905462265014648e-05,2284709.0,6451.0
1650161605,0.005,0.0043066695,0.0,4.905462265014648e-05,4.905462265014648e-05,1713744.5,3874.5
1650161606,0.0,0.002938285,0.0,6.48200511932373e-05,6.48200511932373e-05,1143154.0,2641.0
1650161607,0.0,0.002938285,0.0,6.48200511932373e-05,6.48200511932373e-05,1143154.0,2641.0
1650161608,0.0,0.003323026,0.005,4.905462265014648e-05,4.905462265014648e-05,1713933.5,3808.5
1650161609,0.0,0.009995476,0.0,6.455183029174805e-05,6.455183029174805e-05,4571603.0,9474.0
1650161610,0.0,0.001641502,0.01,6.479024887084961e-05,6.479024887084961e-05,1143161.0,2459.0
1650161611,0.0,0.001641502,0.01,6.479024887084961e-05,6.479024887084961e-05,1143161.0,2459.0
1650161612,0.005,0.003765019,0.0,6.479024887084961e-05,6.479024887084961e-05,2286051.0,4968.0
1650161613,0.0,0.00623771,0.0,6.479024887084961e-05,6.479024887084961e-05,3429530.0,9166.0
1650161614,0.0,0.00623771,0.0,6.479024887084961e-05,6.479024887084961e-05,3429530.0,9166.0
1650161615,0.0,0.0048190315,0.0,4.902482032775879e-05,4.902482032775879e-05,2286868.5,5169.0
1650161616,0.0,0.0048190315,0.0,4.902482032775879e-05,4.902482032775879e-05,2286868.5,5169.0
1650161617,0.0,0.003663983,0.005,6.479024887084961e-05,6.479024887084961e-05,1715481.0,4065.5
1650161618,0.0,0.003663983,0.005,6.479024887084961e-05,6.479024887084961e-05,1715481.0,4065.5
1650161619,0.005,0.003871613,0.0,6.479024887084961e-05,6.479024887084961e-05,1715485.5,3808.5
1650161620,0.005,0.003871613,0.0,6.479024887084961e-05,6.479024887084961e-05,1715485.5,3808.5
1650161621,0.0,0.0048910895,0.0,4.884600639343262e-05,4.884600639343262e-05,2287914.0,6090.0
1650161622,0.0,0.007003618,0.01,4.902482032775879e-05,4.902482032775879e-05,3431788.0,6239.0
